course,book_id,bookclub,chat_crew,pseudonym,message,time,is_answer,page,response_number,uptake
PIM P1,260,2,1,pim-06,ima,2020-10-20 09:25:00,False,10,3.2,
PIM P1,260,2,1,pim-06,imagine this to be the catalyst that ends his idea of public punishment. ,2020-10-20 09:26:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"Perhaps, instead of sending his daughter to the arena, he would send the person who gave her the information about the two doors instead.",2020-10-20 09:26:00,False,10,3.2,
PIM P1,260,2,1,pim-06, It could be argued that the informant is more guilty than the princess and is sent to show the kingdom the consequence of such behaviors.,2020-10-20 09:26:00,False,10,3.2,
PIM P1,260,2,1,pim-06,"(Sorry it came out as three separate messages! For some reason, it wouldn't post my full response at once.)",2020-10-20 09:26:00,False,10,3.2,
PIM P1,260,2,1,pim-04,I agree with Ashely ,2020-10-20 14:20:00,False,10,3.2,Affirm
PIM P1,260,2,1,pim-04, that the Princess's barbaric traits will lead the princess to send her lover to his death.,2020-10-20 14:20:00,False,10,3.2,Elaborate
PIM P1,260,2,1,pim-04,"She exhibits immaturity and cruelty by fixating on imagined flirtations between ""the lady"" and the princess's lover.",2020-10-20 14:20:00,False,10,3.2,
PIM P1,260,2,1,pim-04,The story also leads me to think that she is accustomed to having her every wish granted by her father and that she never learned the benefits of compassion.,2020-10-20 14:20:00,False,10,3.2,
PIM P1,260,2,1,pim-04,I also agree with Ashley,2020-10-20 14:20:00,False,10,3.2,Affirm
PIM P1,260,2,1,pim-04,that the king's adoration of his daughter would stop him from sending his daughter into the arena.,2020-10-20 14:20:00,False,10,3.2,Elaborate
PIM P1,260,2,1,pim-04,"I had orgininally thought that the king would either keep her secret out of love for his daughter, or out of barbaric pride that she sent her lover to his grizzly death, or a combination of the two. ",2020-10-20 14:20:00,False,10,3.2,
PIM P1,260,2,1,pim-04,"If the secret was shared with the community, I also think that it would be her informant that would be punished.", ,True,,3.2,
PIM P1,260,2,1,pim-04,I had not considered Ashley's idea that this experience might be an , ,True,,3.2,Filler
PIM P1,260,2,1,pim-04,opportun,2020-10-20 14:20:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-04,I had not considered Ashley's idea that this experience might be an opportunity for the king to re-examine the practice.,2020-10-20 14:21:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-04, I like this idea!,2020-10-20 14:21:00,False,10,3.2,Affirm
PIM P1,260,2,1,pim-06,"The more I think about this activity, the more I wonder if we are supposed to be collaboratively writing an end to the story. ",2020-10-21 09:17:00,False,10,3.2,
PIM P1,260,2,1,pim-06,Perhaps the top of this page (where we type and send messages) is for planning and the bottom (open white area) is for writing an end to the story? ,2020-10-21 09:17:00,False,10,3.2,
PIM P1,260,2,1,pim-06,I'm overall a little confused by this entire module ,2020-10-21 09:17:00,False,10,3.2,
PIM P1,260,2,1,pim-06,and am open to other thoughts/suggestions.,2020-10-21 09:17:00,False,10,3.2,
PIM P1,260,2,1,pim-04,"I think you are correct, Ashley. ",2020-10-21 11:31:00,False,10,3.2,Affirm
PIM P1,260,2,1,pim-04,"I thought we could all answer the questions in the messaging area (like you & I did), then we can take turns drafting a group response",2020-10-21 11:31:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-04,"I could write the first draft based on my interpretation of our answers, then we could take turns editing - round robin style until we are happy with the result",2020-10-21 11:31:00,False,10,3.2,
PIM P1,260,2,1,pim-04,What were your thoughts?,2020-10-21 11:31:00,False,10,3.2,Clarify
PIM P1,260,2,1,pim-06,"That sounds great, Meg! ",2020-10-21 13:34:00,False,10,3.2,Affirm
PIM P1,260,2,1,pim-06,Thanks for taking the lead on the first draft,2020-10-21 13:34:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-06,I’ll check in soon and add to it ,2020-10-21 13:34:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-06,👍,2020-10-21 13:34:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-04,SUBMITTED,2020-11-01 20:30:00,False,10,3.2,
PIM P1,260,2,1,pim-05,I am late to the discussion ,2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,but I figured I might as well add to this,2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,because while I agree with the first part said,2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05," I have to say, the line of thinking is still technically flawed.",2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,Just because she comes from a semi-barbaric King does not make her semi-barbaric. ,2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,Love does have a way of changing how we think and make valuable decisions like this one,2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,"While Jealousy is a strong determinate, Love is often stronger, and it would make sense to allow her lover to live out of love just as much as it would make",2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,s,2020-11-02 11:16:00,False,10,3.2,
PIM P1,260,2,1,pim-05,make sense to allow her lover to live out of love just as much as it would make sense for her to have him killed. ,2020-11-02 11:17:00,False,10,3.2,
PIM P1,260,2,1,pim-05,Basing a decision on her lineage is not exactly a strong source in my opinion.,2020-11-02 11:17:00,False,10,3.2,
PIM P1,260,2,1,pim-05,"However, basing a decision on her own thought process, that I can get behind",2020-11-02 11:17:00,False,10,3.2,
PIM P1,260,2,1,pim-05,and Meg brought and interesting topic of the difference between how the princess rambles on about him opening the door with the lady but barely mentions him opening the door with the tiger.,2020-11-02 11:17:00,False,10,3.2,Filler
PIM P1,260,2,1,pim-05,The princess has no qualms about her lover dying but,2020-11-02 11:17:00,False,10,3.2,
PIM P1,260,2,1,pim-05,had great grief over her lover in another’s arms.,2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,2,1,pim-05,"As for the second part, only her lover saw her give the signal so the second part is questionable as it would be based on hearsay. ",2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,2,1,pim-05, Would the king even entertain that idea given it is his daughter?,2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,2,1,pim-05,Who knows? ,2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,2,1,pim-05,"Without someone seeing her give the signal, they really cannot accuse her of helping him",2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,2,1,pim-05,"Not to mention that if she had not helped him at all, and he opened the door with the female, would she still be under scrutiny?",2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,2,1,pim-05,What would happen then?,2020-11-02 11:18:00,False,10,3.2,
PIM P1,260,3,1,pim-09,uwgyeu,2020-10-24 18:48:00,False,10,3.3,
PIM P1,260,3,1,pim-09,"Part 1: For this question, our team decided that the princess chose the door with the tiger. ",2020-10-24 18:52:00,False,10,3.3,
PIM P1,260,3,1,pim-09,"This is based on the story's emphasis on the royal family's semi barbaric"" nature.",2020-10-24 18:52:00,False,10,3.3,
PIM P1,260,3,1,pim-09," In the story  it is mentioned several times that the princess is jealous of the idea of her lover being with another woman  stating ""her soul had burned in agony when he rushed to meet that woman"" (pp. 10).",2020-10-24 18:52:00,False,10,3.3,
PIM P1,260,3,1,pim-09,This action seems indicitive of her barbaric and jealous nature because this way she remains the conquerer  and if she cannot,2020-10-24 18:52:00,False,10,3.3,
PIM P1,260,3,1,pim-09,"ha""",2020-10-24 18:52:00,False,10,3.3,
PIM P1,260,4,1,pim-11,What do you guys think? ,2020-10-20 09:28:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,Do you think that she kills him or saves him?,2020-10-20 09:28:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,What would you do in her place?,2020-10-20 09:28:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,"I kind of think that even though she is angry and jealous, she would ultimately save him. ",2020-10-20 10:57:00,False,10,3.4,
PIM P1,260,4,1,pim-11,I think that overall the weight of her conscious would have kept her from sending him to his death for falling in love with her.,2020-10-20 10:57:00,False,10,3.4,
PIM P1,260,4,1,pim-11,"After all, it is a two way road and she is being punished right along with him for getting caught by the king as well.",2020-10-20 10:57:00,False,10,3.4,
PIM P1,260,4,1,pim-11, I also think that even if the king finds out that she knew the doors he will know that either choice that she makes is a punishment in its own right. She suffers either way ,2020-10-20 10:57:00,False,10,3.4,
PIM P1,260,4,1,pim-11,w,2020-10-20 10:57:00,False,10,3.4,
PIM P1,260,4,1,pim-11,And what if the king already knew that she had broken the law. ,2020-10-20 11:04:00,False,10,3.4,
PIM P1,260,4,1,pim-11,Perhaps he planned it so that she would be the one to make the decision in the end as no one has ever known what's behind the doors before,2020-10-20 11:04:00,False,10,3.4,
PIM P1,260,4,1,pim-11,Maybe this was her punishment.,2020-10-20 11:04:00,False,10,3.4,
PIM P1,260,4,1,pim-11,"Knowing she could save him from death, but still lose him in the end.",2020-10-20 11:04:00,False,10,3.4,
PIM P1,260,4,1,pim-11,It would be just a thing that this King would do I think.,2020-10-20 11:04:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"Kyra, those are some good thoughts! ",2020-10-20 12:17:00,False,9,3.4,Affirm
PIM P1,260,4,1,pim-12,I'm kind of on the fence about whether she saves him or not.,2020-10-20 12:17:00,False,9,3.4,
PIM P1,260,4,1,pim-12, I think that she may dislike the idea that he marries another more than him dying.,2020-10-20 12:17:00,False,9,3.4,
PIM P1,260,4,1,pim-12,So I'm leaning more toward she sends him to the tiger's door.,2020-10-20 12:17:00,False,9,3.4,
PIM P1,260,4,1,pim-12,But I do also think that it is possible that the King could be in on it too. ,2020-10-20 12:19:00,False,9,3.4,
PIM P1,260,4,1,pim-12,He could know that she knows which door is which and he seems like the type of king to enjoy that punishment,2020-10-20 12:19:00,False,9,3.4,
PIM P1,260,4,1,pim-11,Emilie I can see that. ,2020-10-20 12:43:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-11,What would you do in her place?,2020-10-20 12:43:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,"Not what do you think she would do, but what would you do if you were in the situation? ",2020-10-20 12:43:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,I know I wouldn't be able to live with myself if I knew I was the reason the person I loved was killed in such a painful manner,2020-10-20 12:43:00,False,10,3.4,
PIM P1,260,4,1,pim-11, It would hurt worse to know his death was my fault than to know that he was happy with someone else. ,2020-10-20 12:43:00,False,10,3.4,
PIM P1,260,4,1,pim-11,I think I'd find it easier to move on and live if he was still alive.,2020-10-20 12:43:00,False,10,3.4,
PIM P1,260,4,1,pim-11,I mean there are other guys out there after all.,2020-10-20 12:43:00,False,10,3.4,
PIM P1,260,4,1,pim-12,I agree.,2020-10-20 13:44:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12," Personally, I would save him. ",2020-10-20 13:44:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"I'd rather be sad for a little while that the person I loved married someone else, than let them get killed. ",2020-10-20 13:44:00,False,10,3.4,
PIM P1,260,4,1,pim-12,I would feel guilty for the rest of my life.,2020-10-20 13:44:00,False,10,3.4,
PIM P1,260,4,1,pim-12,And that's true! ,2020-10-20 13:45:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,"There are other guys out there so even if he was the most handsome and all that,",2020-10-20 13:45:00,False,10,3.4,
PIM P1,260,4,1,pim-12,I'm sure I would eventually get over him being with someone else,2020-10-20 13:45:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"I think if I misled him to choose the tiger's door, I would feel like I committed a murder myself",2020-10-20 13:46:00,False,10,3.4,
PIM P1,260,4,1,pim-11,I agree with that so much! ,2020-10-20 13:57:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-11,But I'm not sure how this princess would think.,2020-10-20 13:57:00,False,10,3.4,
PIM P1,260,4,1,pim-11,Do we know how many people are part of this group? ,2020-10-20 13:57:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,We can try to get in touch with them and decide how we wat to write out the answer,2020-10-20 13:57:00,False,10,3.4,
PIM P1,260,4,1,pim-12,I'm not sure! ,2020-10-20 14:09:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-12,"I tried looking for a ""particpants"" button or something and I couldn't find one.",2020-10-20 14:09:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,I couldn't either.,2020-10-20 14:33:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,"I sent an email to the coordinator and I hope to hear back from them, but I wouldn't mind setting up a discussion in our class page too",2020-10-20 14:33:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,You're here for LIS6303 or for another class?,2020-10-20 14:33:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-12,I'm also in LIS6303!,2020-10-20 14:39:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,okay awesome! ,2020-10-20 14:43:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,I'm going to create a discussion called Book Club 4 and see if we can see if there is anyone else who is part of that group.,2020-10-20 14:43:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,Good idea!,2020-10-20 14:44:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,So how do you guys think we should end it?,2020-10-21 07:42:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,"I'm honestly okay with either ending, ",2020-10-21 10:59:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,but I think we should incorporate the King mentioning that he helped feed his daughter the information on what was behind each door. ,2020-10-21 10:59:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,That's just my opinion though.,2020-10-21 10:59:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,"Also, I got an email letting us know that Elias Royal is also a part of our group. ",2020-10-21 11:00:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,I want to wait to see what they think about how the ending should go as well.,2020-10-21 11:00:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,"How do you think it should end, Emilie?",2020-10-21 11:00:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-12,"Of course, we should all definitely have a chance to contribute.",2020-10-21 11:46:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,I'm also okay with either ending for Part 1 as well. ,2020-10-21 11:49:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,My initial thoughts were that the princess knows what's behind each of the doors because the King had told her or she figured it out from overhearing him talk about the punishment.,2020-10-21 11:49:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"I also got the sense that she would point her lover to the tiger's door, but now the more that I think about it, I think she would send him to the other woman.",2020-10-21 11:49:00,False,10,,
PIM P1,260,4,1,pim-12,I liked what you mentioned earlier Kyra,2020-10-21 11:49:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,about how she may have felt guilty.,2020-10-21 11:49:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,"As for Part 2, I have a theory. ",2020-10-21 11:51:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"I think that when the King discovers his daughter broke the law, he would still make her go through the arena.",2020-10-21 11:51:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"BUT, he'd tell her which door leads to a man and which leads to the tiger, thinking that she will obviously choose to marry and live.",2020-10-21 11:51:00,False,10,3.4,
PIM P1,260,4,1,pim-12,"HOWEVER, she is so distraught about losing the love of her life that she actually chooses the tiger's door on purpose.",2020-10-21 11:51:00,False,10,3.4,
PIM P1,260,4,1,pim-12,This could either cause the King to become even more barbaric or to stop these trials all together,2020-10-21 11:52:00,False,10,3.4,
PIM P1,260,4,1,pim-12,But that's just what I was thinking.,2020-10-21 11:52:00,False,10,3.4,
PIM P1,260,4,1,pim-12, I'm definitely okay with another approach that we can all agree on,2020-10-21 11:52:00,False,10,3.4,
PIM P1,260,4,1,pim-11,Oooo I like that idea of how he might send her to the arena and then tell her which is behind each door. ,2020-10-21 14:01:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-11,"This gives her a chance at potential happiness or, if she is feeling miserable and depressed, may want to go through with the tiger!",2020-10-21 14:01:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,That's certainly an interesting way to look at the potential of that kind of ending.,2020-10-21 14:01:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,And I almost think if we can't decide we might just flip a coin ,2020-10-21 14:04:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,lol ,2020-10-21 14:04:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,(I've been playing dnd too much and it has influenced my writing),2020-10-21 14:04:00,False,10,3.4,
PIM P1,260,4,1,pim-11,Or we could take turns writing out a paragraph and jump one it from the last person's response.,2020-10-21 18:06:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,"Flipping a coin may not be the worst idea, honestly! ",2020-10-22 11:00:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,I like the idea of writing a paragraph or a few sentences and then bouncing off from there. ,2020-10-22 11:00:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,That's fun,2020-10-22 11:00:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,Glad you like that idea ,2020-10-22 14:16:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-11,:D,2020-10-22 14:16:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,I think it would be fun too!,2020-10-22 14:16:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-11,"Oooo I have another idea! What if the princess sends the man to the tiger and right out tells her father she did it and wants a trial. Then because he loves her he begs her to choose the door with the young man he picks for her, but she chooses the tiger.",2020-10-23 10:18:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,That's a creative idea!,2020-10-23 10:23:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12, I like it,2020-10-23 10:23:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,"Kyra, I LOVE what you did for part 1!! ",2020-10-23 10:40:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,That's some amazing writing! ,2020-10-23 10:40:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,Let's hope I do as well on part 2!!,2020-10-23 10:40:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,Awww thank you so much!,2020-10-23 10:52:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,Ahhh I love your response too!,2020-10-23 11:35:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,Finished! How does that sound?,2020-10-23 11:44:00,False,3,3.4,Elaborate
PIM P1,260,4,1,pim-11,it's wonderful!,2020-10-23 11:49:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-11,Any idea on how to submit it?,2020-10-23 11:49:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-12,I think we just leave it here? I'm not totally sure,2020-10-23 12:09:00,False,10,3.4,Clarify
PIM P1,260,4,1,pim-11,Yeah I was wondering because when I click 'My Answer' at the top it says I haven't submitted one. ,2020-10-23 12:27:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,So I don't know. ,2020-10-23 12:27:00,False,10,3.4,Filler
PIM P1,260,4,1,pim-11,Maybe sometime next week there will be a button to push.,2020-10-23 12:27:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-12,Maybe! ,2020-10-25 15:11:00,False,10,3.4,Affirm
PIM P1,260,4,1,pim-12,Or when the survey comes out maybe something will be there,2020-10-25 15:11:00,False,10,3.4,Elaborate
PIM P1,260,4,1,pim-11,Yeah that makes sense.,2020-10-26 09:00:00,False,10,3.4,Affirm
PIM P1,260,5,1,pim-13,darla,2020-10-23 11:06:00,False,10,3.5,
PIM P1,260,5,1,pim-13,"Part 1: Ultimately, it is left for the reader to decide what is behind the door,",2020-10-23 11:06:00,False,10,3.5,
PIM P1,260,5,1,pim-13,and it would depend what they feel the princess cares about more - his life or him being married to another woman.,2020-10-23 11:06:00,False,10,3.5,
PIM P1,260,5,1,pim-13,He sentences her to the same trial.,2020-10-23 11:06:00,False,10,3.5,
PIM P1,260,5,1,pim-14,Part 1: It is such an agonizing question of whether the lady or the tiger is behind the door. ,2020-11-03 17:38:00,False,10,3.5,
PIM P1,260,5,1,pim-14, The abyss of pain and betrayal of an unfaithful lover and seeing them with someone else is palpable and I could imagine that in the throngs of that deep pain one might wish their unfaithful lover to be dead.,2020-11-03 17:38:00,False,10,3.5,
PIM P1,260,5,1,pim-14,I would hope though,2020-11-03 17:38:00,False,10,3.5,
PIM P1,260,5,1,pim-14,"that the lady is behind the door; that the princess might be able to also feel that to take another human life, even when that life has so greatly wronged you, is far worse than to ",2020-11-03 17:38:00,False,10,3.5,
PIM P1,260,5,1,pim-14,experien,2020-11-03 17:38:00,False,10,3.5,
PIM P1,260,5,1,pim-14,"^Gina, that is a really interesting point that you make, ",2020-11-03 17:43:00,False,10,3.5,Affirm
PIM P1,260,5,1,pim-14,that he sentences the princess to the same trial that he is on. ,2020-11-03 17:43:00,False,10,3.5,Affirm
PIM P1,260,5,1,pim-14,"The text describes the anxiety of being in a huge stadium with a roaring crowd and the fear of being killed horribly by a tiger, ",2020-11-03 17:43:00,False,10,3.5,Elaborate
PIM P1,260,5,1,pim-14,"but at the same time, as you stated, the princess is herself in a greater trial than the man in that she has to decide whether to kill or not kill her lover who has hurt so deeply.",2020-11-03 17:43:00,False,10,3.5,Elaborate
PIM P1,260,5,1,pim-14,"That's a really insightful point, Gina!",2020-11-03 17:43:00,False,10,3.5,Affirm
PIM P1,260,5,1,pim-14,I hadn't thought of when I read the piece,2020-11-03 17:43:00,False,10,3.5,Elaborate
PIM P1,260,5,1,pim-13,"Hi John, ",2020-11-05 09:27:00,False,9,3.5,Filler
PIM P1,260,5,1,pim-13,"I feel that it would be fitting for the king to sentence her to the same trial, because they king and princess are both constantly described as semi-barbaric"" throughout the text.",2020-11-05 09:27:00,False,9,3.5,
PIM P1,260,5,1,pim-13,"There seems to be very little compassion or empathy displayed by the king or the princess  even when the princess thinks of her lover  she thinks of herself not necessarily him.""",2020-11-05 09:27:00,False,9,3.5,
Outreach P1,260,1,1,Louise Campbell,"I think the lady is behind the door. If she truly loved him as the story seems to claim, she would not have wanted him mauled. Plus, if she wants a future with any man she wouldn’t want the world to see her first lover as someone who deserved to be punished.",2021-02-17 11:28:49,False,10,1.1,
Outreach P1,260,1,1,Louise Campbell,I honestly don’t think the king would have done anything after discovering his daughter broke the law. He probably covered it up or considered her already punished through her lovers fate.,2021-02-17 11:30:19,False,10,1.1,
Outreach P1,260,1,1,Anna Jones,"I think the lady is behind the door. Regardless of how jealous you may be, you can't really love someone and also be able to tolerate watching them get torn apart by a wild animal.",2021-02-17 16:53:11,False,10,1.1,
Outreach P1,260,1,1,Anna Jones,The King does seem unstable enough to put his daughter on trial via the lady and the tiger method. I imagine she'd use her own connections to find out which door had the tiger behind it and which door had a suitor.,2021-02-17 16:54:37,False,10,1.1,Affirm
Outreach P1,260,1,1,Andrea Henderson,"I think the tiger was behind the door. Mostly because of the princess being described as ""hot-blooded and semi-barbaric.""",2021-02-21 10:13:38,False,9,1.1,Disagree
Outreach P1,260,1,1,Andrea Henderson,"Louise Campbell, I agree with you in thinking that the king covered it up somehow and didn't put her through the trial.",2021-02-21 10:15:16,False,9,1.1,Affirm
Outreach P1,260,1,1,Louise Campbell,"Anna Jones, this is what I was thinking. If you really loved him you wouldn’t allow that. Alexandra, I was leaning toward the tiger at first because of the descriptions you gave. The apple doesn’t fall far from the tree and all that. 🙂",2021-02-22 06:20:44,False,10,1.1,Elaborate
Outreach P1,260,1,1,Andrea Henderson,"Yeah, I was going back and forth a lot on what I think happened. So I can definitely see your reasoning for her picking the lady.",2021-02-23 07:32:16,False,10,1.1,Affirm
Outreach P1,260,1,1,Anna Jones,"So, where have we landed: Lady or tiger? Trial or coverup? I think we just have to write something in the space below.",2021-02-23 17:43:29,False,10,1.1,Clarify
Outreach P1,260,1,1,Andrea Henderson,Should we go with the choices that have a majority?,2021-02-24 11:05:19,False,10,1.1,Clarify
Outreach P1,260,1,1,Andrea Henderson,So the lady behind the door and the king covering up for his daughter?,2021-02-24 11:05:19,False,10,1.1,Clarify
Outreach P1,260,1,1,Andrea Henderson,"Is the response we write in the field below supposed to be in the same style of the story, like we're completing it?",2021-02-25 17:41:08,False,10,1.1,Clarify
Outreach P1,260,1,1,Andrea Henderson,Or are we just answering the questions?,2021-02-25 17:41:08,False,10,1.1,Clarify
Outreach P1,260,1,1,Anna Jones,I'm good with writing the majority choices.,2021-02-25 17:46:45,False,10,1.1,Affirm
Outreach P1,260,1,1,Anna Jones,"Unfortunately I can't click in the box below at all, so it's anyone's guess what style our response is supposed to be in. I would imagine answering the questions simply would be fine.",2021-02-25 17:47:32,False,10,1.1,Clarify
Outreach P1,260,1,1,Anna Jones,"Oh good! I can, in fact, click in the box.",2021-02-25 17:47:51,False,10,1.1,Affirm
Outreach P1,260,1,1,Andrea Henderson,Great!,2021-02-25 17:48:05,False,10,1.1,Affirm
Outreach P1,260,1,1,Anna Jones,Looks good. I think to mark our assignment done we just have to write SUBMITTED at the top of the entry.,2021-02-25 17:54:58,False,10,1.1,Affirm
Outreach P1,260,1,1,Anna Jones,Are we ready for that?,2021-02-25 17:56:35,False,10,1.1,Clarify
